location,cases,deaths,tests,cases/100k,deaths/100k,test/100k,100th_case,Mortality
Argentina,5195,273,58685.0,11.0,1.0,130.0,49,5.0
Australia,6875,97,688656.0,27.0,0.0,2701.0,58,1.0
Austria,15651,608,292254.0,174.0,7.0,3245.0,60,4.0
Bahrain,3934,8,160341.0,231.0,0.0,9423.0,58,0.0
Belgium,50781,8339,391314.0,438.0,72.0,3376.0,61,16.0
Brazil,125218,8536,132467.0,59.0,4.0,62.0,54,7.0
Bulgaria,1778,84,51768.0,26.0,1.0,745.0,48,5.0
Canada,63496,4232,942526.0,168.0,11.0,2497.0,56,7.0
Chile,23048,281,232108.0,121.0,1.0,1214.0,52,1.0
Colombia,8959,397,127105.0,18.0,1.0,250.0,49,4.0
Costa Rica,761,6,9892.0,15.0,0.0,194.0,48,1.0
Croatia,2119,85,41053.0,52.0,2.0,1000.0,48,4.0
Czech Republic,7974,262,278519.0,74.0,2.0,2601.0,56,3.0
Denmark,9983,506,270680.0,172.0,9.0,4673.0,58,5.0
Ecuador,31881,1618,66160.0,181.0,9.0,375.0,48,5.0
Estonia,1713,55,58955.0,129.0,4.0,4444.0,53,3.0
Finland,5573,252,108112.0,101.0,5.0,1951.0,56,5.0
France,137150,25809,724574.0,210.0,40.0,1110.0,67,19.0
Germany,166091,7119,2755770.0,198.0,8.0,3289.0,67,4.0
Greece,2663,147,87052.0,26.0,1.0,835.0,56,6.0
Hungary,3150,383,86743.0,33.0,4.0,898.0,47,12.0
Iceland,1799,10,51622.0,527.0,3.0,15127.0,53,1.0
India,52952,1783,1276781.0,4.0,0.0,92.0,52,3.0
Indonesia,12438,895,92976.0,5.0,0.0,34.0,53,7.0
Iran,101650,6418,531275.0,121.0,8.0,632.0,71,6.0
Ireland,22248,1375,214761.0,451.0,28.0,4349.0,54,6.0
Israel,16310,239,413517.0,188.0,3.0,4778.0,55,1.0
Italy,214457,29684,2310929.0,355.0,49.0,3822.0,74,14.0
Japan,15463,551,188927.0,12.0,0.0,149.0,75,4.0
Latvia,900,17,68627.0,48.0,1.0,3638.0,47,2.0
Luxembourg,3851,98,50533.0,615.0,16.0,8073.0,51,3.0
Malaysia,6428,107,222150.0,20.0,0.0,686.0,59,2.0
Mexico,27634,2704,89565.0,21.0,2.0,70.0,50,10.0
Morocco,5408,183,37006.0,15.0,0.0,100.0,46,3.0
Netherlands,41319,5204,243277.0,241.0,30.0,1420.0,62,13.0
Norway,7953,209,188236.0,147.0,4.0,3472.0,61,3.0
Pakistan,24073,564,232582.0,11.0,0.0,105.0,52,2.0
Panama,7731,218,36483.0,179.0,5.0,846.0,49,3.0
Peru,54817,1533,406579.0,166.0,5.0,1233.0,51,3.0
Philippines,10004,658,119512.0,9.0,1.0,109.0,53,7.0
Poland,14740,733,410468.0,39.0,2.0,1085.0,53,5.0
Portugal,26182,1089,470234.0,257.0,11.0,4612.0,54,4.0
Qatar,17972,12,112963.0,624.0,0.0,3921.0,56,0.0
Romania,14107,858,217139.0,73.0,4.0,1129.0,54,6.0
Russia,165929,1537,4633731.0,114.0,1.0,3175.0,51,1.0
Saudi Arabia,31938,209,389659.0,92.0,1.0,1119.0,54,1.0
Serbia,9791,203,117474.0,144.0,3.0,1726.0,49,2.0
Singapore,20198,20,123525.0,345.0,0.0,2111.0,68,0.0
Slovakia,1429,25,104606.0,26.0,0.0,1916.0,50,2.0
Slovenia,1448,99,58923.0,70.0,5.0,2834.0,55,7.0
South Africa,7808,153,268064.0,13.0,0.0,452.0,50,2.0
South Korea,10810,256,643095.0,21.0,0.0,1254.0,77,2.0
Spain,220325,25857,1351130.0,471.0,55.0,2890.0,64,12.0
Sweden,23918,2941,148500.0,237.0,29.0,1470.0,61,12.0
Switzerland,29977,1504,290365.0,346.0,17.0,3355.0,62,5.0
Taiwan,439,6,65589.0,2.0,0.0,275.0,49,1.0
Thailand,2989,55,86320.0,4.0,0.0,124.0,52,2.0
Turkey,131744,3584,1234724.0,156.0,4.0,1464.0,50,3.0
United Kingdom,201201,30076,1072144.0,296.0,44.0,1579.0,63,15.0
United States,1228603,73431,7544328.0,371.0,22.0,2279.0,65,6.0
Uruguay,775,17,23811.0,22.0,0.0,686.0,48,2.0
