location,percentage_change
Argentina,-7.329317269076305
Australia,40.21739130434783
Austria,-34.77272727272727
Bahrain,10.831509846827133
Belgium,-51.05527638190955
Brazil,45.2121586174973
Bulgaria,-21.749408983451538
Canada,4.391654978962132
Chile,127.44497074393982
Colombia,48.14016172506739
Costa Rica,50.0
Croatia,-49.107142857142854
Czech Republic,-10.835214446952596
Denmark,-11.040145985401459
Ecuador,-65.67811934900543
Estonia,-56.074766355140184
Finland,-14.157014157014157
France,-6.274889678183188
Germany,-37.03603359523164
Greece,-48.214285714285715
Hungary,-23.625254582484725
Iceland,-83.33333333333333
India,70.73003345629236
Indonesia,13.344666383340417
Iran,4.333637906278554
Ireland,-44.30485762144053
Israel,-61.67471819645733
Italy,-33.18986719134284
Japan,-40.630397236614854
Latvia,-42.04545454545455
Luxembourg,-28.695652173913043
Malaysia,16.949152542372882
Mexico,35.56168159889731
Morocco,15.148305084745763
Netherlands,-36.43939393939394
Norway,-31.414868105515588
Pakistan,38.336106489184694
Panama,-2.380952380952381
Peru,42.26551324841632
Philippines,19.30758988015979
Poland,-15.01416430594901
Portugal,-45.018450184501845
Qatar,-0.2765996680803983
Romania,-6.128747795414462
Russia,60.70048309178744
Saudi Arabia,22.085747392815758
Serbia,-33.72670807453416
Singapore,-17.145454545454545
Slovakia,-74.14965986394557
Slovenia,-53.84615384615385
South Africa,43.32361516034985
South Korea,-28.571428571428573
Spain,-53.03961965134707
Sweden,-15.86784550953932
Switzerland,-42.618629173989454
Taiwan,233.33333333333334
Thailand,-69.56521739130434
Turkey,-25.165212794078773
United Kingdom,13.408560801865978
United States,-4.352189781021898
Uruguay,79.01234567901234
